time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,MyStrategy,db209add60e8487aabf88540a4fc692a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,MyStrategy,db209add60e8487aabf88540a4fc692a,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,1.0,0.0
2020-01-02 12:30:00-05:00,MyStrategy,419d6594e05542d88abab74fe03b2265,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 12:30:00-05:00,MyStrategy,419d6594e05542d88abab74fe03b2265,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,1.0,0.0
2020-01-02 15:30:00-05:00,MyStrategy,9694f104cfd04fdfbfbe3b8de6a3ae1d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 15:30:00-05:00,MyStrategy,9694f104cfd04fdfbfbe3b8de6a3ae1d,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,1.0,0.0
2020-01-03 09:30:00-05:00,MyStrategy,10ea5da525124e3da986ebd377fdde4e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,MyStrategy,10ea5da525124e3da986ebd377fdde4e,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.1600036621094,1.0,0.0
2020-01-03 12:30:00-05:00,MyStrategy,37fd96166a1c4721bff4f79d8fc372bc,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 12:30:00-05:00,MyStrategy,37fd96166a1c4721bff4f79d8fc372bc,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.1600036621094,1.0,0.0
2020-01-03 15:30:00-05:00,MyStrategy,d95906fb766f44cca8b85ea53e179afb,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 15:30:00-05:00,MyStrategy,d95906fb766f44cca8b85ea53e179afb,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.1600036621094,1.0,0.0
2020-01-06 09:30:00-05:00,MyStrategy,61dcc3aa117a44d5af5b3ae050c13755,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,MyStrategy,61dcc3aa117a44d5af5b3ae050c13755,SPY,buy,market,fill,1,gtc,0.0,1,stock,320.489990234375,1.0,0.0
2020-01-06 12:30:00-05:00,MyStrategy,09ce1c635d18455a827633e39b244d79,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-06 12:30:00-05:00,MyStrategy,09ce1c635d18455a827633e39b244d79,SPY,buy,market,fill,1,gtc,0.0,1,stock,320.489990234375,1.0,0.0
2020-01-06 15:30:00-05:00,MyStrategy,eebe80a602bd4315986ce70cca0bc493,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
